,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
764,1964-09-16,30.75,76.78,35.0,9.40000057220459,0.0,4.200000286102295,236.5,22.89999961853027,27.60000038146973,32.29999923706055,26.30000114440918,5.779999732997685
765,1964-10-16,30.75,76.78,16.0,14.90000057220459,0.0,3.400000095367432,0.1000000014901161,17.10000038146973,24.5,32.0,17.5,0.02999999899305556
766,1964-11-16,30.75,76.78,16.30000114440918,17.0,0.1099999989930556,2.200000047683716,1.0,9.300000190734863,17.80000114440918,26.30000114440918,11.90000057220459,0.1999999879976852
767,1964-12-16,30.75,76.78,28.80000114440918,14.0,2.039999961990741,1.5,20.39999961853027,7.0,14.0,21.0,10.69999980926514,1.419999956990741
768,1965-01-16,30.75,76.78,35.0,14.0,2.039999961990741,1.700000047683716,36.70000076293945,7.0,14.0,21.0,11.30000019073486,2.37999987599537
769,1965-02-15,30.75,76.78,33.79999923706055,13.0,0.8299999829976853,2.400000095367432,54.70000076293945,8.0,14.5,21.0,10.5,2.939999818993056
770,1965-03-16,30.75,76.78,38.79999923706055,14.60000038146973,0.0,3.600000143051147,29.70000076293945,12.0,19.30000114440918,26.60000038146973,12.60000038146973,2.220000028993056
771,1965-04-16,30.75,76.78,32.5,14.69999980926514,0.0,5.200000286102295,40.79999923706055,16.80000114440918,24.10000038146973,31.5,12.40000057220459,1.879999995
772,1965-05-16,30.75,76.78,31.30000114440918,14.69999980926514,0.0,6.5,36.60000228881836,21.70000076293945,29.0,36.40000152587891,15.69999980926514,2.339999913993056
773,1965-06-16,30.75,76.78,40.0,13.10000038146973,0.0,6.700000286102295,9.40000057220459,26.30000114440918,32.79999923706055,39.40000152587891,25.80000114440918,1.5
774,1965-07-16,30.75,76.78,57.5,9.100000381469727,0.0,4.599999904632568,297.6000061035156,24.80000114440918,29.30000114440918,33.90000152587891,30.39999961853027,10.10999965699074
775,1965-08-16,30.75,76.78,55.5,8.5,0.0,4.099999904632568,166.1000061035156,23.80000114440918,28.0,32.29999923706055,29.70000076293945,8.55999946599537
776,1965-09-16,30.75,76.78,35.0,10.5,0.0,4.300000190734863,66.0999984741211,22.5,27.70000076293945,33.0,25.5,2.730000018993056
777,1965-10-16,30.75,76.78,15.90000057220459,14.10000038146973,0.0,3.5,27.80000114440918,17.89999961853027,24.89999961853027,32.0,18.5,1.129999995
