,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
0,1901-01-16,26.2312,104.0966,55.0,10.60000038146973,18.97999954199074,1.600000023841858,13.19999980926514,-0.4000000059604645,4.900000095367432,10.19999980926514,5.599999904632568,13.73999977099537
1,1901-02-15,26.2312,104.0966,57.5,11.5,14.01999950399306,2.100000143051147,14.90000057220459,0.9000000357627869,6.599999904632568,12.40000057220459,6.0,11.53999996199074
2,1901-03-16,26.2312,104.0966,55.0,12.80000019073486,6.26999998099537,3.0,18.60000038146973,4.599999904632568,11.0,17.39999961853027,7.599999904632568,10.85999965699074
3,1901-04-16,26.2312,104.0966,62.5,12.40000057220459,0.5699999929976852,3.400000095367432,45.60000228881836,8.40000057220459,14.60000038146973,20.80000114440918,10.10000038146973,12.819999695
4,1901-05-16,26.2312,104.0966,72.5,10.10000038146973,0.0,3.400000095367432,124.0,12.10000038146973,17.10000038146973,22.20000076293945,12.90000057220459,16.89999961899306
5,1901-06-16,26.2312,104.0966,86.30000305175781,8.100000381469727,0.0,2.900000095367432,215.1999969482422,14.10000038146973,18.10000038146973,22.20000076293945,15.5,20.22999954199074
6,1901-07-16,26.2312,104.0966,83.80000305175781,8.0,0.0,2.900000095367432,254.6999969482422,15.40000057220459,19.39999961853027,23.39999961853027,17.30000114440918,22.17000007599537
7,1901-08-16,26.2312,104.0966,80.0,8.5,0.0,2.799999952316284,118.2000045776367,14.60000038146973,18.80000114440918,23.10000038146973,16.5,16.57999992399306
8,1901-09-16,26.2312,104.0966,80.0,8.0,0.0,2.400000095367432,131.4000091552734,12.60000038146973,16.60000038146973,20.60000038146973,14.30000019073486,17.59000015299769
9,1901-10-16,26.2312,104.0966,75.0,8.100000381469727,0.07999999799768519,2.0,33.90000152587891,9.40000057220459,13.40000057220459,17.5,11.5,11.01000022899306
10,1901-11-16,26.2312,104.0966,65.0,9.0,5.659999846990741,1.600000023841858,28.39999961853027,4.800000190734863,9.300000190734863,13.80000019073486,8.40000057220459,14.53999996199074
11,1901-12-16,26.2312,104.0966,56.29999923706055,10.0,15.25999927498843,1.399999976158142,3.0,1.0,6.0,11.0,6.400000095367432,6.35999965699074
12,1902-01-16,26.2312,104.0966,55.0,10.60000038146973,18.97999954199074,1.600000023841858,12.5,-0.4000000059604645,4.900000095367432,10.19999980926514,5.599999904632568,14.60999965699074
13,1902-02-15,26.2312,104.0966,57.5,11.5,14.01999950399306,2.100000143051147,15.60000038146973,0.9000000357627869,6.599999904632568,12.40000057220459,6.0,13.14999961899306
14,1902-03-16,26.2312,104.0966,55.0,12.80000019073486,6.059999942997685,3.0,20.60000038146973,4.700000286102295,11.10000038146973,17.5,7.599999904632568,12.96999931299768
15,1902-04-16,26.2312,104.0966,62.5,12.40000057220459,0.7999999519907407,3.400000095367432,45.10000228881836,8.100000381469727,14.30000019073486,20.5,10.10000038146973,12.75
