,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
1179,1999-04-16,-5.1619,119.4362,34.0,7.700000286102295,0,4.300000190734863,202.4000091552734,23.20000076293945,27.0,30.89999961853027,29.70000076293945,10.19999980899306
1180,1999-05-16,-5.1619,119.4362,32.5,8.300000190734863,0,4.0,116.2000045776367,23.0,27.10000038146973,31.30000114440918,29.30000114440918,8.099999427997686
1181,1999-06-16,-5.1619,119.4362,35.0,8.800000190734863,0,3.700000047683716,68.5999984741211,22.39999961853027,26.80000114440918,31.20000076293945,28.10000038146973,6.129999637997686
1182,1999-07-16,-5.1619,119.4362,26.30000114440918,9.90000057220459,0,4.099999904632568,50.70000076293945,21.20000076293945,26.10000038146973,31.10000038146973,25.89999961853027,4.5
1183,1999-08-16,-5.1619,119.4362,17.5,10.90000057220459,0,4.800000190734863,20.89999961853027,21.10000038146973,26.5,32.0,25.39999961853027,2.12999987599537
1184,1999-09-16,-5.1619,119.4362,22.5,10.69999980926514,0,5.099999904632568,70.4000015258789,21.70000076293945,27.0,32.40000152587891,25.60000038146973,2.069999932997685
1185,1999-10-16,-5.1619,119.4362,25.0,10.0,0,5.099999904632568,101.0999984741211,22.10000038146973,27.10000038146973,32.10000228881836,27.0,5.17000007599537
1186,1999-11-16,-5.1619,119.4362,42.5,8.0,0,4.400000095367432,279.8999938964844,23.0,27.0,31.0,28.70000076293945,11.26999950399306
1187,1999-12-16,-5.1619,119.4362,61.29999923706055,6.5,0,3.5,536.7000122070312,23.0,26.20000076293945,29.5,29.20000076293945,21.87999916099537
1188,2000-01-16,-5.1619,119.4362,65.0,6.300000190734863,0,3.400000095367432,698.2000122070312,22.89999961853027,26.0,29.20000076293945,29.0,25.22999954199074
1189,2000-02-15,-5.1619,119.4362,62.5,6.300000190734863,0,3.600000143051147,567.0,23.20000076293945,26.30000114440918,29.5,29.39999961853027,19.96999931299769
1190,2000-03-16,-5.1619,119.4362,53.79999923706055,4.400000095367432,0,3.900000095367432,415.3999938964844,25.60000038146973,27.80000114440918,30.0,31.89999961853027,18.02000045799769
1191,2000-04-16,-5.1619,119.4362,33.90000152587891,7.800000190734863,0,4.200000286102295,207.0,23.0,26.89999961853027,30.80000114440918,29.5,10.30999946599537
1192,2000-05-16,-5.1619,119.4362,32.5,8.300000190734863,0,4.0,119.9000015258789,23.0,27.10000038146973,31.30000114440918,29.30000114440918,8.300000190995371
1193,2000-06-16,-5.1619,119.4362,35.0,8.800000190734863,0,3.700000047683716,67.0,22.10000038146973,26.5,30.89999961853027,27.70000076293945,5.940000056990741
1194,2000-07-16,-5.1619,119.4362,26.30000114440918,9.90000057220459,0,4.099999904632568,42.60000228881836,21.20000076293945,26.10000038146973,31.10000038146973,26.0,4.069999695
1195,2000-08-16,-5.1619,119.4362,17.5,10.90000057220459,0,4.800000190734863,23.10000038146973,20.89999961853027,26.30000114440918,31.80000114440918,25.20000076293945,2.269999980995371
1196,2000-09-16,-5.1619,119.4362,22.5,10.69999980926514,0,5.099999904632568,68.0,21.89999961853027,27.20000076293945,32.60000228881836,25.89999961853027,2.0
1197,2000-10-16,-5.1619,119.4362,25.0,10.0,0,5.099999904632568,107.7000045776367,22.20000076293945,27.20000076293945,32.20000076293945,27.30000114440918,5.269999980995371
1198,2000-11-16,-5.1619,119.4362,42.5,8.0,0,4.400000095367432,407.1000061035156,23.0,27.0,31.0,28.70000076293945,14.03999996199074
1199,2000-12-16,-5.1619,119.4362,61.29999923706055,6.5,0,3.5,395.0,23.10000038146973,26.30000114440918,29.60000038146973,29.30000114440918,19.28999900799769
1200,2001-01-16,-5.1619,119.4362,65.0,6.300000190734863,0,3.400000095367432,795.9000244140625,22.80000114440918,25.89999961853027,29.10000038146973,28.89999961853027,27.47999954199074
1201,2001-02-15,-5.1619,119.4362,62.5,6.300000190734863,0,3.600000143051147,849.5,23.39999961853027,26.5,29.70000076293945,29.60000038146973,24.30999946599537
1202,2001-03-16,-5.1619,119.4362,53.79999923706055,4.400000095367432,0,3.900000095367432,591.9000244140625,25.30000114440918,27.5,29.70000076293945,31.39999961853027,21.20999908399305
1203,2001-04-16,-5.1619,119.4362,33.90000152587891,7.800000190734863,0,4.200000286102295,217.3000030517578,23.0,26.89999961853027,30.80000114440918,29.5,10.82999992399306
1204,2001-05-16,-5.1619,119.4362,32.5,8.300000190734863,0,4.0,102.8000030517578,23.0,27.10000038146973,31.30000114440918,29.30000114440918,7.559999942997685
1205,2001-06-16,-5.1619,119.4362,35.0,8.800000190734863,0,3.700000047683716,217.1999969482422,22.5,26.89999961853027,31.30000114440918,28.20000076293945,11.09999942799769
1206,2001-07-16,-5.1619,119.4362,26.30000114440918,9.90000057220459,0,4.099999904632568,41.70000076293945,21.39999961853027,26.30000114440918,31.30000114440918,26.20000076293945,4.019999980995371
1207,2001-08-16,-5.1619,119.4362,17.5,10.90000057220459,0,4.800000190734863,0.0,21.0,26.39999961853027,31.89999961853027,25.20000076293945,0.0
1208,2001-09-16,-5.1619,119.4362,22.5,10.69999980926514,0,5.099999904632568,137.1000061035156,21.60000038146973,26.89999961853027,32.29999923706055,25.5,3.77999997099537
