,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
0,1901-01-16,31.6189,113.8229,57.5,8.600000381469727,20.27000045799769,1.200000047683716,33.60000228881836,-0.9000000357627869,3.400000095367432,7.700000286102295,5.400000095367432,9.899999618993055
1,1901-02-15,31.6189,113.8229,67.0999984741211,8.5,19.65999984699074,1.200000047683716,2.700000047683716,-1.5,2.799999952316284,7.099999904632568,5.700000286102295,1.63999998599537
2,1901-03-16,31.6189,113.8229,67.9000015258789,9.0,6.48999977099537,2.0,32.29999923706055,4.5,9.0,13.5,8.600000381469727,8.670000075995372
3,1901-04-16,31.6189,113.8229,69.80000305175781,9.300000190734863,0.0,2.799999952316284,81.0999984741211,10.90000057220459,15.5,20.20000076293945,13.40000057220459,12.35999965699074
4,1901-05-16,31.6189,113.8229,67.5999984741211,9.300000190734863,0.0,3.400000095367432,101.0,15.60000038146973,20.20000076293945,24.89999961853027,18.10000038146973,11.55999946599537
5,1901-06-16,31.6189,113.8229,70.0,8.800000190734863,0.0,3.900000095367432,170.8000030517578,20.39999961853027,24.80000114440918,29.20000076293945,23.10000038146973,12.11999988599537
6,1901-07-16,31.6189,113.8229,67.5999984741211,7.700000286102295,0.0,3.900000095367432,505.8000183105469,23.10000038146973,26.89999961853027,30.80000114440918,29.20000076293945,19.19999885599537
7,1901-08-16,31.6189,113.8229,59.0,8.100000381469727,0.0,3.900000095367432,91.30000305175781,22.80000114440918,26.80000114440918,30.89999961853027,28.20000076293945,9.510000228993055
8,1901-09-16,31.6189,113.8229,63.70000076293945,8.600000381469727,0.0,2.900000095367432,45.79999923706055,17.5,21.80000114440918,26.10000038146973,20.89999961853027,9.099999427997686
9,1901-10-16,31.6189,113.8229,61.60000228881836,9.300000190734863,0.0,2.200000047683716,106.3000030517578,12.19999980926514,16.80000114440918,21.5,14.69999980926514,14.82999992399306
10,1901-11-16,31.6189,113.8229,49.90000152587891,9.100000381469727,3.609999895,1.5,5.599999904632568,5.900000095367432,10.40000057220459,15.0,9.600000381469727,3.329999923993055
11,1901-12-16,31.6189,113.8229,53.60000228881836,8.800000190734863,17.92000007599537,1.100000023841858,4.300000190734863,0.0,4.400000095367432,8.800000190734863,6.099999904632568,3.389999865995371
12,1902-01-16,31.6189,113.8229,57.5,8.600000381469727,18.44999885599537,1.300000071525574,36.20000076293945,-0.2000000029802322,4.099999904632568,8.40000057220459,5.5,9.98999977099537
13,1902-02-15,31.6189,113.8229,66.80000305175781,8.5,15.22999954199074,1.399999976158142,10.69999980926514,0.4000000059604645,4.599999904632568,8.90000057220459,6.099999904632568,4.67000007599537
14,1902-03-16,31.6189,113.8229,69.0999984741211,9.0,4.089999675995371,2.100000143051147,52.10000228881836,5.700000286102295,10.19999980926514,14.69999980926514,8.90000057220459,10.73999977099537
15,1902-04-16,31.6189,113.8229,72.5999984741211,9.300000190734863,0.0,2.700000047683716,103.4000015258789,10.69999980926514,15.30000019073486,20.0,13.5,13.77999973299768
16,1902-05-16,31.6189,113.8229,68.9000015258789,9.300000190734863,0.0,3.5,93.0,16.20000076293945,20.80000114440918,25.5,18.10000038146973,11.17999935199074
17,1902-06-16,31.6189,113.8229,69.9000015258789,8.800000190734863,0.0,3.900000095367432,40.70000076293945,20.39999961853027,24.80000114440918,29.20000076293945,23.0,5.569999695
18,1902-07-16,31.6189,113.8229,67.4000015258789,7.700000286102295,0.0,4.0,146.1999969482422,23.30000114440918,27.10000038146973,31.0,28.80000114440918,11.32999992399306
19,1902-08-16,31.6189,113.8229,58.90000152587891,8.100000381469727,0.0,3.900000095367432,22.60000038146973,22.39999961853027,26.39999961853027,30.5,27.70000076293945,4.650000095
20,1902-09-16,31.6189,113.8229,63.79999923706055,8.600000381469727,0.0,2.900000095367432,7.900000095367432,17.30000114440918,21.60000038146973,25.89999961853027,20.39999961853027,2.86999988599537
21,1902-10-16,31.6189,113.8229,61.10000228881836,9.300000190734863,0.0,2.200000047683716,65.80000305175781,12.60000038146973,17.20000076293945,21.89999961853027,15.0,11.82999992399306
22,1902-11-16,31.6189,113.8229,55.0,9.100000381469727,1.719999908993056,1.700000047683716,12.80000019073486,7.200000286102295,11.69999980926514,16.30000114440918,9.90000057220459,5.909999846990741
23,1902-12-16,31.6189,113.8229,53.90000152587891,8.800000190734863,15.25999927498843,1.200000047683716,29.80000114440918,1.0,5.400000095367432,9.800000190734863,6.300000190734863,11.51999950399306
24,1903-01-16,31.6189,113.8229,57.5,8.600000381469727,22.01000022899306,1.100000023841858,17.10000038146973,-1.600000023841858,2.700000047683716,7.0,5.400000095367432,7.38999986599537
25,1903-02-15,31.6189,113.8229,67.0999984741211,8.5,15.94999980899306,1.399999976158142,60.40000152587891,0.1000000014901161,4.300000190734863,8.600000381469727,6.099999904632568,11.89999961899306
26,1903-03-16,31.6189,113.8229,73.0999984741211,9.0,5.029999732997685,2.0,130.6999969482422,5.200000286102295,9.699999809265137,14.19999980926514,8.800000190734863,16.39999961899306
27,1903-04-16,31.6189,113.8229,72.20000457763672,9.300000190734863,0.0,2.700000047683716,86.70000457763672,10.90000057220459,15.5,20.20000076293945,13.5,12.73999977099537
28,1903-05-16,31.6189,113.8229,67.5999984741211,9.300000190734863,0.0,3.5,158.0,15.80000019073486,20.39999961853027,25.10000038146973,18.20000076293945,14.02999973299768
29,1903-06-16,31.6189,113.8229,70.0,8.800000190734863,0.0,4.0,94.80000305175781,20.39999961853027,24.80000114440918,29.20000076293945,22.70000076293945,9.539999961990741
30,1903-07-16,31.6189,113.8229,67.5999984741211,7.700000286102295,0.0,3.900000095367432,271.7000122070312,23.10000038146973,26.89999961853027,30.80000114440918,28.70000076293945,14.96000003799769
31,1903-08-16,31.6189,113.8229,59.10000228881836,8.100000381469727,0.0,3.900000095367432,183.6999969482422,23.0,27.0,31.10000038146973,28.39999961853027,14.15999984699074
32,1903-09-16,31.6189,113.8229,63.79999923706055,8.600000381469727,0.0,3.0,103.4000015258789,17.80000114440918,22.10000038146973,26.39999961853027,20.89999961853027,11.84999942799769
33,1903-10-16,31.6189,113.8229,61.5,9.300000190734863,0.0,2.200000047683716,31.30000114440918,12.0,16.60000038146973,21.30000114440918,14.30000019073486,8.30999946599537
