,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
0,1901-01-16,26.556,49.996,42.5,9.300000190734863,0.0,2.600000143051147,15.10000038146973,10.10000038146973,14.69999980926514,19.39999961853027,11.5,4.659999846990741
1,1901-02-15,26.556,49.996,43.79999923706055,10.0,0.0,3.299999952316284,6.099999904632568,11.40000057220459,16.39999961853027,21.39999961853027,12.19999980926514,1.99000001
2,1901-03-16,26.556,49.996,50.0,10.40000057220459,0.0,4.800000190734863,24.60000038146973,16.20000076293945,21.39999961853027,26.60000038146973,14.80000019073486,7.38999986599537
3,1901-04-16,26.556,49.996,49.90000152587891,11.0,0.0,6.300000190734863,8.800000190734863,20.89999961853027,26.39999961853027,31.89999961853027,18.20000076293945,4.679999827997685
4,1901-05-16,26.556,49.996,45.0,12.60000038146973,0.0,8.300000190734863,0.699999988079071,25.70000076293945,32.0,38.29999923706055,20.30000114440918,0.620000005
5,1901-06-16,26.556,49.996,37.5,12.5,0.0,10.19999980926514,0.0,27.70000076293945,33.90000152587891,40.20000076293945,18.5,0.0
6,1901-07-16,26.556,49.996,40.0,12.40000057220459,0.0,9.300000190734863,0.0,29.80000114440918,36.0,42.20000076293945,22.30000114440918,0.0
7,1901-08-16,26.556,49.996,36.29999923706055,12.30000019073486,0.0,8.600000381469727,0.0,29.20000076293945,35.29999923706055,41.5,24.70000076293945,0.0
8,1901-09-16,26.556,49.996,32.5,13.10000038146973,0.0,7.300000190734863,0.0,27.39999961853027,33.90000152587891,40.5,26.80000114440918,0.0
9,1901-10-16,26.556,49.996,31.30000114440918,12.10000038146973,0.0,5.400000095367432,0.300000011920929,22.89999961853027,28.89999961853027,35.0,22.20000076293945,0.1499999909953704
10,1901-11-16,26.556,49.996,35.0,10.69999980926514,0.0,3.799999952316284,3.700000047683716,18.0,23.30000114440918,28.70000076293945,17.5,0.879999995
11,1901-12-16,26.556,49.996,41.29999923706055,9.800000190734863,0.0,2.900000095367432,15.60000038146973,14.10000038146973,19.0,23.89999961853027,14.30000019073486,4.569999695
12,1902-01-16,26.556,49.996,42.5,9.300000190734863,0.0,2.700000047683716,3.5,11.69999980926514,16.30000114440918,21.0,12.90000057220459,1.5
13,1902-02-15,26.556,49.996,43.79999923706055,10.0,0.0,3.400000095367432,0.6000000238418579,12.60000038146973,17.60000038146973,22.60000038146973,13.19999980926514,1.169999956990741
14,1902-03-16,26.556,49.996,50.0,10.40000057220459,0.0,5.099999904632568,3.799999952316284,17.60000038146973,22.80000114440918,28.0,15.30000019073486,3.25
15,1902-04-16,26.556,49.996,49.90000152587891,11.0,0.0,6.5,8.600000381469727,21.0,26.5,32.0,17.20000076293945,5.349999905
16,1902-05-16,26.556,49.996,45.0,12.60000038146973,0.0,8.0,0.0,24.20000076293945,30.5,36.79999923706055,18.70000076293945,0.02
17,1902-06-16,26.556,49.996,37.5,12.5,0.0,10.19999980926514,0.0,27.70000076293945,33.90000152587891,40.20000076293945,19.0,0.0
18,1902-07-16,26.556,49.996,40.0,12.40000057220459,0.0,9.0,0.0,28.10000038146973,34.29999923706055,40.5,20.20000076293945,0.0
19,1902-08-16,26.556,49.996,36.29999923706055,12.30000019073486,0.0,8.5,0.0,28.5,34.60000228881836,40.79999923706055,23.80000114440918,0.0
20,1902-09-16,26.556,49.996,32.5,13.10000038146973,0.0,7.099999904632568,0.0,25.70000076293945,32.20000076293945,38.79999923706055,24.0,0.0
21,1902-10-16,26.556,49.996,31.30000114440918,12.10000038146973,0.0,5.200000286102295,5.099999904632568,21.10000038146973,27.10000038146973,33.20000076293945,19.89999961853027,0.7299999589930556
22,1902-11-16,26.556,49.996,35.0,10.69999980926514,0.0,3.400000095367432,25.80000114440918,16.10000038146973,21.39999961853027,26.80000114440918,16.80000114440918,4.710000037997686
23,1902-12-16,26.556,49.996,41.29999923706055,9.800000190734863,0.0,2.400000095367432,9.600000381469727,11.19999980926514,16.10000038146973,21.0,13.0,2.27999997099537
24,1903-01-16,26.556,49.996,42.5,9.300000190734863,0.1899999979976852,2.5,3.400000095367432,9.100000381469727,13.69999980926514,18.39999961853027,10.80000019073486,2.720000028993056
25,1903-02-15,26.556,49.996,43.79999923706055,10.0,0.0,3.200000047683716,21.20000076293945,10.19999980926514,15.19999980926514,20.20000076293945,11.0,6.799999713993055
26,1903-03-16,26.556,49.996,50.0,10.40000057220459,0.0,4.5,11.69999980926514,13.90000057220459,19.10000038146973,24.30000114440918,12.60000038146973,5.98999977099537
27,1903-04-16,26.556,49.996,49.90000152587891,11.0,0.0,5.900000095367432,13.5,18.10000038146973,23.60000038146973,29.10000038146973,15.10000038146973,6.449999808993055
28,1903-05-16,26.556,49.996,45.0,12.60000038146973,0.0,8.100000381469727,0.0,24.10000038146973,30.39999961853027,36.70000076293945,18.20000076293945,0.02
29,1903-06-16,26.556,49.996,37.5,12.5,0.0,10.19999980926514,0.0,27.39999961853027,33.60000228881836,39.90000152587891,18.10000038146973,0.0
30,1903-07-16,26.556,49.996,40.0,12.40000057220459,0.0,9.100000381469727,0.0,28.10000038146973,34.29999923706055,40.5,19.20000076293945,0.0
31,1903-08-16,26.556,49.996,36.29999923706055,12.30000019073486,0.0,8.699999809265137,0.0,29.70000076293945,35.79999923706055,42.0,25.80000114440918,0.0
32,1903-09-16,26.556,49.996,32.5,13.10000038146973,0.0,7.099999904632568,0.0,26.20000076293945,32.70000076293945,39.29999923706055,24.80000114440918,0.0
