,Date,Latitude,Longitude,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
0,1901-01-16,3.0333,101.45,66.30000305175781,9.100000381469727,0,3.299999952316284,164.5,22.10000038146973,26.60000038146973,31.20000076293945,28.20000076293945,15.78999996199074
1,1901-02-15,3.0333,101.45,60.0,9.5,0,3.700000047683716,49.5,22.39999961853027,27.10000038146973,31.89999961853027,28.60000038146973,9.220000266990741
2,1901-03-16,3.0333,101.45,61.29999923706055,9.300000190734863,0,3.799999952316284,97.70000457763672,22.80000114440918,27.39999961853027,32.10000228881836,29.70000076293945,12.55999946599537
3,1901-04-16,3.0333,101.45,65.0,8.699999809265137,0,3.5,269.3999938964844,23.39999961853027,27.70000076293945,32.10000228881836,30.89999961853027,20.73999977099537
4,1901-05-16,3.0333,101.45,67.5,8.90000057220459,0,3.299999952316284,139.0,23.10000038146973,27.5,32.0,30.70000076293945,15.13000011399306
5,1901-06-16,3.0333,101.45,68.80000305175781,8.600000381469727,0,3.200000047683716,121.5,23.10000038146973,27.39999961853027,31.70000076293945,30.0,12.78999996199074
6,1901-07-16,3.0333,101.45,70.0,8.600000381469727,0,3.200000047683716,89.4000015258789,22.70000076293945,27.0,31.30000114440918,29.30000114440918,12.05000019099537
7,1901-08-16,3.0333,101.45,73.80000305175781,8.800000190734863,0,3.200000047683716,119.0999984741211,22.70000076293945,27.10000038146973,31.5,29.5,14.38999939
8,1901-09-16,3.0333,101.45,78.9000015258789,8.800000190734863,0,3.100000143051147,119.0999984741211,22.60000038146973,27.0,31.39999961853027,29.80000114440918,14.85999965699074
9,1901-10-16,3.0333,101.45,78.80000305175781,8.699999809265137,0,3.0,206.0,22.80000114440918,27.10000038146973,31.5,30.20000076293945,20.22999954199074
10,1901-11-16,3.0333,101.45,80.0,8.199999809265137,0,2.799999952316284,371.8999938964844,22.80000114440918,26.89999961853027,31.0,30.30000114440918,27.75
11,1901-12-16,3.0333,101.45,75.0,8.300000190734863,0,2.900000095367432,199.1999969482422,22.5,26.60000038146973,30.80000114440918,29.20000076293945,20.48999977099537
12,1902-01-16,3.0333,101.45,66.30000305175781,9.100000381469727,0,3.299999952316284,196.9000091552734,22.10000038146973,26.60000038146973,31.20000076293945,28.20000076293945,17.04999923699074
13,1902-02-15,3.0333,101.45,60.0,9.5,0,3.700000047683716,163.8000030517578,22.39999961853027,27.10000038146973,31.89999961853027,28.60000038146973,15.90999984699074
14,1902-03-16,3.0333,101.45,61.29999923706055,9.300000190734863,0,3.799999952316284,172.1999969482422,22.80000114440918,27.39999961853027,32.10000228881836,29.70000076293945,16.85999870299769
15,1902-04-16,3.0333,101.45,65.0,8.699999809265137,0,3.5,305.8000183105469,23.39999961853027,27.70000076293945,32.10000228881836,30.89999961853027,22.35000038099537
16,1902-05-16,3.0333,101.45,67.5,8.90000057220459,0,3.299999952316284,205.5,23.10000038146973,27.5,32.0,30.70000076293945,18.19999885599537
17,1902-06-16,3.0333,101.45,68.80000305175781,8.600000381469727,0,3.200000047683716,120.7000045776367,23.10000038146973,27.39999961853027,31.70000076293945,30.0,12.42999935199074
18,1902-07-16,3.0333,101.45,70.0,8.600000381469727,0,3.200000047683716,77.80000305175781,22.70000076293945,27.0,31.30000114440918,29.30000114440918,11.13999939
19,1902-08-16,3.0333,101.45,73.80000305175781,8.800000190734863,0,3.200000047683716,137.1999969482422,22.70000076293945,27.10000038146973,31.5,29.5,15.26999950399306
20,1902-09-16,3.0333,101.45,78.9000015258789,8.800000190734863,0,3.100000143051147,164.0,22.60000038146973,27.0,31.39999961853027,29.80000114440918,16.87999916099537
21,1902-10-16,3.0333,101.45,78.80000305175781,8.699999809265137,0,3.0,452.6000061035156,22.80000114440918,27.10000038146973,31.5,30.20000076293945,28.79999923699074
22,1902-11-16,3.0333,101.45,80.0,8.199999809265137,0,2.799999952316284,513.7000122070312,22.80000114440918,26.89999961853027,31.0,30.30000114440918,29.51999854998843
23,1902-12-16,3.0333,101.45,75.0,8.300000190734863,0,2.900000095367432,289.0,22.5,26.60000038146973,30.80000114440918,29.20000076293945,24.05999946599537
24,1903-01-16,3.0333,101.45,66.30000305175781,9.100000381469727,0,3.299999952316284,194.6999969482422,22.10000038146973,26.60000038146973,31.20000076293945,28.20000076293945,17.17000007599537
25,1903-02-15,3.0333,101.45,60.0,9.5,0,3.700000047683716,128.5,22.39999961853027,27.10000038146973,31.89999961853027,28.60000038146973,14.39999961899306
26,1903-03-16,3.0333,101.45,61.29999923706055,9.300000190734863,0,3.799999952316284,150.1000061035156,22.80000114440918,27.39999961853027,32.10000228881836,29.70000076293945,15.30999946599537
27,1903-04-16,3.0333,101.45,65.0,8.699999809265137,0,3.5,229.3000030517578,23.39999961853027,27.70000076293945,32.10000228881836,30.89999961853027,19.69999885599537
28,1903-05-16,3.0333,101.45,67.5,8.90000057220459,0,3.299999952316284,153.6999969482422,23.10000038146973,27.5,32.0,30.70000076293945,15.64999961899306
29,1903-06-16,3.0333,101.45,68.80000305175781,8.600000381469727,0,3.200000047683716,106.5999984741211,23.10000038146973,27.39999961853027,31.70000076293945,30.0,11.72999954199074
30,1903-07-16,3.0333,101.45,70.0,8.600000381469727,0,3.200000047683716,72.4000015258789,22.70000076293945,27.0,31.30000114440918,29.30000114440918,10.72999954199074
31,1903-08-16,3.0333,101.45,73.80000305175781,8.800000190734863,0,3.200000047683716,207.1999969482422,22.70000076293945,27.10000038146973,31.5,29.5,18.59000015299769
